Gender,Age,Ethnicity,Location,Income,,,,,,,,,
0,24,1,1,26000,,,,,,,,,
0,50,0,0,14400,,,,,,,,,
1,53,0,0,21000,,,,,,,,,
0,38,0,0,45002,,,,,,,,,
1,33,0,0,0,,,,,,,,,
0,15,0,0,800,,,,,,,,,
1,13,0,0,0,,,,,,,,,
0,9,0,0,0,,,,,,,,,
0,6,0,0,0,,,,,,,,,
0,11,0,0,0,,,,,,,,,
1,28,5,1,52000,,,,,,,,,
0,28,0,1,39000,,,,,,,,,
0,26,0,1,30000,,,,,,,,,
1,31,0,1,50000,,,,,,,,,
1,5,0,1,0,,,,,,,,,
1,61,0,1,0,,,,,,,,,
1,72,0,0,0,,,,,,,,,
0,44,0,0,32000,,,,,,,,,
0,17,0,0,0,,,,,,,,,
1,70,0,0,0,,,,,,,,,
0,55,0,1,47000,,,,,,,,,
1,58,2,1,60000,,,,,,,,,
1,79,0,0,0,,,,,,,,,
0,59,0,1,50000,,,,,,,,,
0,17,0,1,3500,,,,,,,,,
1,33,0,1,121000,,,,,,,,,
0,31,0,1,151000,,,,,,,,,
1,1,0,1,0,,,,,,,,,
0,74,0,1,0,,,,,,,,,
1,69,0,1,6600,,,,,,,,,
0,31,0,1,45000,,,,,,,,,
1,24,0,1,35000,,,,,,,,,
0,25,0,1,21600,,,,,,,,,
0,66,0,1,80555,,,,,,,,,
1,62,0,1,0,,,,,,,,,
1,23,0,1,8450,,,,,,,,,
0,64,0,0,10000,,,,,,,,,
1,63,0,0,28000,,,,,,,,,
0,9,0,0,0,,,,,,,,,
1,12,0,0,0,,,,,,,,,
1,14,0,0,0,,,,,,,,,
1,64,0,1,150000,,,,,,,,,
0,61,0,1,400000,,,,,,,,,
1,62,0,1,42000,,,,,,,,,
0,57,0,1,68000,,,,,,,,,
0,20,0,1,12800,,,,,,,,,
1,18,0,1,0,,,,,,,,,
0,56,2,0,75600,,,,,,,,,
1,35,0,0,35000,,,,,,,,,
0,33,0,0,22000,,,,,,,,,
1,4,0,0,0,,,,,,,,,
1,31,0,1,27000,,,,,,,,,
0,29,0,1,45000,,,,,,,,,
0,39,0,0,32000,,,,,,,,,
1,61,0,0,23000,,,,,,,,,
1,68,0,1,0,,,,,,,,,
0,25,0,1,30000,,,,,,,,,
1,57,0,0,36000,,,,,,,,,
0,56,0,0,50000,,,,,,,,,
1,32,0,0,0,,,,,,,,,
0,3,0,0,0,,,,,,,,,
0,10,0,0,0,,,,,,,,,
0,40,0,1,0,,,,,,,,,
0,35,0,1,45000,,,,,,,,,
1,28,0,1,0,,,,,,,,,
1,13,0,1,0,,,,,,,,,
0,12,0,1,0,,,,,,,,,
1,8,0,1,0,,,,,,,,,
0,6,0,1,0,,,,,,,,,
1,4,0,1,0,,,,,,,,,
0,33,5,1,22000,,,,,,,,,
0,54,0,1,100800,,,,,,,,,
1,54,0,1,2000,,,,,,,,,
0,11,0,1,0,,,,,,,,,
0,13,0,1,0,,,,,,,,,
0,74,0,1,0,,,,,,,,,
1,63,0,1,0,,,,,,,,,
0,75,0,0,0,,,,,,,,,
1,72,0,0,0,,,,,,,,,
1,66,0,1,53000,,,,,,,,,
0,66,0,1,18200,,,,,,,,,
0,32,0,1,44786,,,,,,,,,
1,31,0,1,23000,,,,,,,,,
0,6,0,1,0,,,,,,,,,
0,2,0,1,0,,,,,,,,,
0,61,0,1,27000,,,,,,,,,
0,65,0,1,7000,,,,,,,,,
1,65,0,1,0,,,,,,,,,
1,66,0,1,25000,,,,,,,,,
0,74,0,1,0,,,,,,,,,
0,44,0,1,55000,,,,,,,,,
1,47,0,1,76200,,,,,,,,,
0,54,0,1,34200,,,,,,,,,
1,39,0,1,11900,,,,,,,,,
1,19,0,1,6192,,,,,,,,,
1,16,0,1,0,,,,,,,,,
0,14,0,1,0,,,,,,,,,
0,8,0,1,0,,,,,,,,,
0,4,0,1,0,,,,,,,,,
0,63,0,0,40000,,,,,,,,,
1,53,0,0,58000,,,,,,,,,
0,52,0,0,70000,,,,,,,,,
1,55,0,0,35000,,,,,,,,,
0,22,0,0,30000,,,,,,,,,
0,20,0,0,0,,,,,,,,,
0,18,0,0,0,,,,,,,,,
0,15,0,0,0,,,,,,,,,
1,13,0,0,0,,,,,,,,,
0,12,0,0,0,,,,,,,,,
1,9,0,0,0,,,,,,,,,
0,61,0,0,0,,,,,,,,,
1,61,0,0,0,,,,,,,,,
1,36,0,0,1840,,,,,,,,,
0,39,0,0,85000,,,,,,,,,
1,13,0,0,0,,,,,,,,,
0,9,0,0,0,,,,,,,,,
1,27,0,0,4788,,,,,,,,,
1,3,0,0,0,,,,,,,,,
1,1,0,0,0,,,,,,,,,
0,64,0,1,120000,,,,,,,,,
1,67,0,1,0,,,,,,,,,
0,21,0,0,3000,,,,,,,,,
1,36,0,0,0,,,,,,,,,
0,37,0,1,12000,,,,,,,,,
1,37,0,1,80000,,,,,,,,,
0,75,0,1,0,,,,,,,,,
1,73,0,1,0,,,,,,,,,
0,31,0,0,54000,,,,,,,,,
1,29,0,0,28000,,,,,,,,,
0,3,0,0,0,,,,,,,,,
1,63,0,1,37000,,,,,,,,,
1,58,0,0,0,,,,,,,,,
1,77,0,0,0,,,,,,,,,
1,39,0,0,24000,,,,,,,,,
0,44,0,0,33000,,,,,,,,,
0,12,0,0,0,,,,,,,,,
1,10,0,0,0,,,,,,,,,
0,8,0,0,0,,,,,,,,,
0,8,0,0,0,,,,,,,,,
0,46,0,0,75000,,,,,,,,,
1,44,0,0,50000,,,,,,,,,
0,20,0,0,12000,,,,,,,,,
1,17,0,0,6000,,,,,,,,,
1,62,0,0,28000,,,,,,,,,
0,28,0,0,26000,,,,,,,,,
0,47,0,0,30000,,,,,,,,,
1,47,0,0,40000,,,,,,,,,
1,23,0,0,22880,,,,,,,,,
1,21,0,0,24000,,,,,,,,,
0,34,0,0,43600,,,,,,,,,
1,36,0,0,11300,,,,,,,,,
0,8,0,0,0,,,,,,,,,
0,6,0,0,0,,,,,,,,,
1,13,0,0,0,,,,,,,,,
1,76,0,1,0,,,,,,,,,
0,77,0,1,0,,,,,,,,,
0,65,0,1,184000,,,,,,,,,
1,64,0,1,165000,,,,,,,,,
1,43,0,1,21000,,,,,,,,,
0,36,0,1,0,,,,,,,,,
1,17,0,1,3500,,,,,,,,,
0,41,0,1,51000,,,,,,,,,
0,62,0,1,57643,,,,,,,,,
1,59,0,1,34405,,,,,,,,,
0,37,0,1,2500,,,,,,,,,
1,34,5,1,14000,,,,,,,,,
1,7,0,1,0,,,,,,,,,
1,5,0,1,0,,,,,,,,,
0,51,0,0,55000,,,,,,,,,
1,53,0,0,60000,,,,,,,,,
0,27,0,0,22000,,,,,,,,,
1,23,0,0,9000,,,,,,,,,
0,78,0,1,0,,,,,,,,,
1,47,0,1,40000,,,,,,,,,
0,46,0,1,0,,,,,,,,,
0,49,0,1,0,,,,,,,,,
1,16,0,1,0,,,,,,,,,
0,40,1,1,44000,,,,,,,,,
1,32,1,1,4000,,,,,,,,,
0,7,1,1,0,,,,,,,,,
0,4,1,1,0,,,,,,,,,
1,2,1,1,0,,,,,,,,,
0,0,1,1,0,,,,,,,,,
1,46,0,1,37300,,,,,,,,,
0,44,0,1,50000,,,,,,,,,
0,13,0,1,0,,,,,,,,,
0,80,0,1,0,,,,,,,,,
1,79,0,1,0,,,,,,,,,
1,41,1,1,32000,,,,,,,,,
0,44,0,1,54000,,,,,,,,,
1,17,0,1,1000,,,,,,,,,
1,17,0,1,2418,,,,,,,,,
0,52,0,1,80000,,,,,,,,,
1,51,0,1,92000,,,,,,,,,
1,18,0,1,12000,,,,,,,,,
1,85,0,1,0,,,,,,,,,
0,39,0,0,72000,,,,,,,,,
1,38,0,0,35000,,,,,,,,,
0,14,0,0,0,,,,,,,,,
1,11,0,0,0,,,,,,,,,
0,43,0,0,40000,,,,,,,,,
0,13,0,0,0,,,,,,,,,
1,37,0,0,60000,,,,,,,,,
0,17,0,0,0,,,,,,,,,
0,57,0,0,0,,,,,,,,,
0,32,0,1,111000,,,,,,,,,
1,24,0,1,70000,,,,,,,,,
0,45,0,1,200000,,,,,,,,,
1,51,0,1,0,,,,,,,,,
1,12,0,1,0,,,,,,,,,
0,12,0,1,0,,,,,,,,,
0,46,0,1,0,,,,,,,,,
1,45,0,1,0,,,,,,,,,
0,11,0,1,0,,,,,,,,,
1,27,0,1,75000,,,,,,,,,
0,32,0,1,44000,,,,,,,,,
1,6,5,1,0,,,,,,,,,
0,6,5,1,0,,,,,,,,,
0,8,5,1,0,,,,,,,,,
0,54,0,1,67000,,,,,,,,,
1,43,3,1,102000,,,,,,,,,
0,10,3,1,0,,,,,,,,,
1,7,3,1,0,,,,,,,,,
1,40,0,1,0,,,,,,,,,
0,19,0,1,0,,,,,,,,,
1,38,0,0,98000,,,,,,,,,
0,25,0,0,50000,,,,,,,,,
0,26,0,0,50000,,,,,,,,,
0,72,5,1,0,,,,,,,,,
0,31,0,1,0,,,,,,,,,
1,53,0,1,26600,,,,,,,,,
0,16,0,1,0,,,,,,,,,
1,13,0,1,0,,,,,,,,,
0,67,0,0,157000,,,,,,,,,
0,40,0,0,-9999,,,,,,,,,
1,16,0,0,1000,,,,,,,,,
1,14,0,0,0,,,,,,,,,
1,46,0,0,45000,,,,,,,,,
1,18,0,0,3000,,,,,,,,,
1,15,0,0,0,,,,,,,,,
0,45,0,1,46500,,,,,,,,,
1,36,0,1,27900,,,,,,,,,
0,41,0,1,85000,,,,,,,,,
1,43,0,1,41000,,,,,,,,,
0,14,0,1,0,,,,,,,,,
0,11,0,1,0,,,,,,,,,
0,25,0,0,96000,,,,,,,,,
1,28,0,0,0,,,,,,,,,
0,5,0,0,0,,,,,,,,,
0,3,0,0,0,,,,,,,,,
0,59,0,1,36600,,,,,,,,,
1,51,0,1,128900,,,,,,,,,
1,21,0,1,0,,,,,,,,,
0,15,0,1,0,,,,,,,,,
1,25,0,1,32000,,,,,,,,,
0,27,0,1,45000,,,,,,,,,
1,66,0,0,0,,,,,,,,,
1,85,0,0,0,,,,,,,,,
0,57,0,1,60001,,,,,,,,,
1,53,0,1,75000,,,,,,,,,
1,12,0,1,0,,,,,,,,,
1,15,0,1,0,,,,,,,,,
0,68,0,1,0,,,,,,,,,
1,72,0,1,0,,,,,,,,,
1,53,0,1,28900,,,,,,,,,
0,66,2,1,0,,,,,,,,,
0,41,2,1,13000,,,,,,,,,
1,39,2,1,20000,,,,,,,,,
1,8,2,1,0,,,,,,,,,
0,3,2,1,0,,,,,,,,,
1,64,2,1,0,,,,,,,,,
1,37,0,0,0,,,,,,,,,
0,8,0,0,0,,,,,,,,,
1,74,0,0,-2000,,,,,,,,,
0,78,0,0,15780,,,,,,,,,
0,66,0,1,0,,,,,,,,,
1,19,0,1,9000,,,,,,,,,
1,20,0,1,11000,,,,,,,,,
1,38,0,0,0,,,,,,,,,
0,17,0,0,0,,,,,,,,,
0,12,0,0,0,,,,,,,,,
0,65,0,0,0,,,,,,,,,
1,52,0,0,19750,,,,,,,,,
0,14,0,0,0,,,,,,,,,
1,58,0,1,63000,,,,,,,,,
1,14,0,1,0,,,,,,,,,
1,45,0,1,3800,,,,,,,,,
1,18,0,1,0,,,,,,,,,
0,14,0,1,0,,,,,,,,,
0,57,0,0,49500,,,,,,,,,
1,39,0,0,37000,,,,,,,,,
1,46,0,0,26000,,,,,,,,,
0,45,0,0,11000,,,,,,,,,
0,5,0,0,0,,,,,,,,,
0,23,0,0,15000,,,,,,,,,
1,80,0,0,0,,,,,,,,,
0,46,0,1,60002,,,,,,,,,
1,43,0,1,2000,,,,,,,,,
1,19,0,1,8000,,,,,,,,,
1,18,0,1,17000,,,,,,,,,
0,14,0,1,0,,,,,,,,,
1,10,0,1,0,,,,,,,,,
0,41,0,1,44000,,,,,,,,,
1,40,0,1,45000,,,,,,,,,
1,14,0,1,0,,,,,,,,,
0,11,0,1,0,,,,,,,,,
1,31,0,1,0,,,,,,,,,
0,40,0,1,52000,,,,,,,,,
0,3,0,1,0,,,,,,,,,
1,48,0,1,85000,,,,,,,,,
0,48,0,1,40000,,,,,,,,,
1,17,0,1,2500,,,,,,,,,
0,10,0,1,0,,,,,,,,,
1,21,0,1,7000,,,,,,,,,
1,45,0,1,40000,,,,,,,,,
0,53,0,1,41000,,,,,,,,,
0,16,0,1,0,,,,,,,,,
0,13,0,1,0,,,,,,,,,
0,40,0,1,1121,,,,,,,,,
1,50,0,1,95000,,,,,,,,,
0,52,0,1,100000,,,,,,,,,
0,16,0,1,0,,,,,,,,,
0,13,0,1,0,,,,,,,,,
1,80,0,0,0,,,,,,,,,
1,32,0,1,155000,,,,,,,,,
0,31,0,1,40000,,,,,,,,,
0,29,0,1,40100,,,,,,,,,
1,26,0,1,31000,,,,,,,,,
1,63,0,0,0,,,,,,,,,
0,67,0,0,0,,,,,,,,,
1,67,0,1,0,,,,,,,,,
1,72,0,1,0,,,,,,,,,
1,52,0,1,23000,,,,,,,,,
0,44,0,1,123000,,,,,,,,,
0,17,1,1,0,,,,,,,,,
0,12,0,1,0,,,,,,,,,
1,14,0,1,0,,,,,,,,,
0,29,0,1,30000,,,,,,,,,
1,65,0,1,0,,,,,,,,,
1,36,0,1,0,,,,,,,,,
0,46,0,1,60000,,,,,,,,,
1,44,0,1,24000,,,,,,,,,
1,14,0,1,0,,,,,,,,,
0,54,0,1,51000,,,,,,,,,
1,44,0,1,52000,,,,,,,,,
1,18,0,1,0,,,,,,,,,
1,72,0,0,0,,,,,,,,,
0,74,0,0,0,,,,,,,,,
1,57,0,1,50000,,,,,,,,,
0,56,0,1,30000,,,,,,,,,
1,65,0,0,27000,,,,,,,,,
0,66,0,0,42000,,,,,,,,,
1,71,0,1,0,,,,,,,,,
0,75,0,1,0,,,,,,,,,
0,31,0,0,36000,,,,,,,,,
1,27,0,0,13200,,,,,,,,,
0,10,0,0,0,,,,,,,,,
0,9,0,0,0,,,,,,,,,
1,5,0,0,0,,,,,,,,,
0,46,0,1,60000,,,,,,,,,
1,46,0,1,35000,,,,,,,,,
1,10,2,1,0,,,,,,,,,
1,6,2,1,0,,,,,,,,,
1,46,0,1,0,,,,,,,,,
1,14,0,1,0,,,,,,,,,
1,58,0,1,0,,,,,,,,,
1,53,0,0,19000,,,,,,,,,
0,54,0,0,35900,,,,,,,,,
1,17,0,0,0,,,,,,,,,
1,51,0,1,1000,,,,,,,,,
0,54,0,1,90000,,,,,,,,,
1,17,0,1,0,,,,,,,,,
0,15,0,1,0,,,,,,,,,
0,37,0,1,55000,,,,,,,,,
1,35,0,1,5000,,,,,,,,,
0,37,0,1,50000,,,,,,,,,
1,28,0,1,66000,,,,,,,,,
0,1,0,1,0,,,,,,,,,
1,78,0,1,0,,,,,,,,,
0,53,0,1,16000,,,,,,,,,
1,51,5,1,186000,,,,,,,,,
1,14,5,1,0,,,,,,,,,
1,66,0,1,45000,,,,,,,,,
1,52,0,0,0,,,,,,,,,
1,19,0,0,0,,,,,,,,,
0,17,0,0,0,,,,,,,,,
1,80,0,1,0,,,,,,,,,
1,33,3,1,50000,,,,,,,,,
0,35,0,1,67000,,,,,,,,,
1,51,0,0,0,,,,,,,,,
1,47,0,1,0,,,,,,,,,
1,11,0,1,0,,,,,,,,,
0,53,0,1,14000,,,,,,,,,
1,60,0,1,9500,,,,,,,,,
0,61,0,1,9500,,,,,,,,,
1,70,0,1,0,,,,,,,,,
1,70,0,0,0,,,,,,,,,
1,53,0,0,27500,,,,,,,,,
0,57,0,0,80000,,,,,,,,,
0,28,0,0,5359,,,,,,,,,
1,20,0,0,40000,,,,,,,,,
0,52,5,1,0,,,,,,,,,
1,14,5,1,0,,,,,,,,,
1,59,0,0,30000,,,,,,,,,
0,52,0,0,56000,,,,,,,,,
1,36,0,0,90000,,,,,,,,,
0,13,0,0,0,,,,,,,,,
1,43,0,1,0,,,,,,,,,
1,16,0,1,25,,,,,,,,,
0,13,0,1,0,,,,,,,,,
1,15,0,1,0,,,,,,,,,
1,35,0,0,28000,,,,,,,,,
1,58,0,0,26000,,,,,,,,,
1,79,0,0,0,,,,,,,,,
1,47,0,1,200000,,,,,,,,,
0,49,0,1,10000,,,,,,,,,
1,18,0,1,3000,,,,,,,,,
0,14,0,1,0,,,,,,,,,
0,30,3,1,22000,,,,,,,,,
0,54,3,1,24000,,,,,,,,,
1,24,3,1,0,,,,,,,,,
1,26,3,1,33000,,,,,,,,,
1,78,0,1,0,,,,,,,,,
1,66,0,1,15040,,,,,,,,,
1,71,0,0,0,,,,,,,,,
0,73,0,0,100000,,,,,,,,,
1,85,0,1,0,,,,,,,,,
0,53,0,0,118000,,,,,,,,,
1,49,0,0,40000,,,,,,,,,
0,16,0,0,0,,,,,,,,,
0,19,0,0,6750,,,,,,,,,
0,48,0,1,75000,,,,,,,,,
1,48,0,1,31500,,,,,,,,,
0,17,0,1,0,,,,,,,,,
1,38,0,1,75000,,,,,,,,,
0,65,3,1,0,,,,,,,,,
0,12,0,1,0,,,,,,,,,
1,10,0,1,0,,,,,,,,,
1,65,0,1,0,,,,,,,,,
0,61,1,1,70000,,,,,,,,,
1,49,0,1,40000,,,,,,,,,
0,54,0,0,50000,,,,,,,,,
1,78,0,0,0,,,,,,,,,
1,45,0,1,40000,,,,,,,,,
1,13,3,1,0,,,,,,,,,
1,29,0,1,47000,,,,,,,,,
0,35,0,1,250000,,,,,,,,,
1,36,0,1,12000,,,,,,,,,
0,37,5,1,30000,,,,,,,,,
1,18,5,1,11000,,,,,,,,,
0,13,5,1,0,,,,,,,,,
0,69,0,0,0,,,,,,,,,
1,46,0,0,110000,,,,,,,,,
0,45,0,0,25000,,,,,,,,,
1,20,0,0,11500,,,,,,,,,
1,73,0,1,0,,,,,,,,,
0,77,1,1,0,,,,,,,,,
0,51,0,1,70000,,,,,,,,,
1,50,0,1,0,,,,,,,,,
0,40,0,0,0,,,,,,,,,
1,72,0,0,0,,,,,,,,,
0,85,0,1,0,,,,,,,,,
1,85,0,1,0,,,,,,,,,
1,61,0,1,0,,,,,,,,,
0,57,0,1,0,,,,,,,,,
1,35,0,1,0,,,,,,,,,
0,20,0,0,5600,,,,,,,,,
0,52,0,1,40000,,,,,,,,,
1,48,0,1,75000,,,,,,,,,
0,13,0,1,0,,,,,,,,,
0,15,0,1,1800,,,,,,,,,
0,48,0,0,1200,,,,,,,,,
1,55,0,0,56000,,,,,,,,,
0,12,0,0,0,,,,,,,,,
1,6,1,0,0,,,,,,,,,
0,5,1,0,0,,,,,,,,,
1,58,0,1,0,,,,,,,,,
0,59,0,1,52500,,,,,,,,,
1,30,0,1,20000,,,,,,,,,
1,27,0,1,0,,,,,,,,,
1,25,0,1,0,,,,,,,,,
0,19,0,1,0,,,,,,,,,
0,23,0,1,34000,,,,,,,,,
1,23,0,1,22000,,,,,,,,,
0,39,0,0,60000,,,,,,,,,
1,37,0,0,16000,,,,,,,,,
1,12,0,0,0,,,,,,,,,
1,10,0,0,0,,,,,,,,,
0,63,0,1,0,,,,,,,,,
1,61,0,1,10500,,,,,,,,,
0,38,0,1,16000,,,,,,,,,
0,46,0,1,80000,,,,,,,,,
1,47,0,1,90000,,,,,,,,,
1,12,0,1,0,,,,,,,,,
1,8,0,1,0,,,,,,,,,
0,56,0,1,35000,,,,,,,,,
0,80,5,1,0,,,,,,,,,
1,69,0,1,0,,,,,,,,,
1,67,0,1,0,,,,,,,,,
0,66,0,1,0,,,,,,,,,
0,51,0,0,0,,,,,,,,,
1,49,0,0,10000,,,,,,,,,
0,39,0,0,70000,,,,,,,,,
1,36,0,0,7000,,,,,,,,,
1,14,0,0,0,,,,,,,,,
1,9,0,0,0,,,,,,,,,
1,9,0,0,0,,,,,,,,,
0,18,0,1,5000,,,,,,,,,
1,40,0,1,0,,,,,,,,,
0,42,0,1,200000,,,,,,,,,
1,10,0,1,0,,,,,,,,,
0,7,0,1,0,,,,,,,,,
0,2,0,1,0,,,,,,,,,
1,76,0,0,0,,,,,,,,,
0,56,0,0,86650,,,,,,,,,
1,10,0,0,0,,,,,,,,,
1,48,0,0,24,,,,,,,,,
0,55,0,0,24000,,,,,,,,,
1,58,0,1,7150,,,,,,,,,
0,60,0,1,28000,,,,,,,,,
0,67,0,1,0,,,,,,,,,
1,38,0,1,0,,,,,,,,,
0,55,0,0,3000,,,,,,,,,
0,21,0,0,0,,,,,,,,,
0,21,0,0,22000,,,,,,,,,
0,56,0,1,0,,,,,,,,,
